Time: 1.74, Note: j
Time: 1.92, Note: d
Time: 1.99, Note: k
Time: 2.24, Note: f
Time: 2.56, Note: j
Time: 2.77, Note: d
Time: 3.05, Note: k
Time: 3.43, Note: f
Time: 3.65, Note: j
Time: 3.88, Note: d
Time: 4.41, Note: k
Time: 4.60, Note: f
Time: undefined, Note: j
Time: undefined, Note: d
Time: undefined, Note: k
Time: undefined, Note: f
Time: undefined, Note: j
Time: undefined, Note: d
Time: undefined, Note: k
Time: 8.42, Note: d
Time: 8.87, Note: j
Time: 9.00, Note: f
Time: 9.52, Note: k
Time: 9.67, Note: d
Time: 9.89, Note: j
Time: 10.51, Note: f
Time: 10.73, Note: k
Time: 11.19, Note: j
Time: 11.38, Note: d
Time: 11.63, Note: k
Time: 12.07, Note: j
Time: 12.26, Note: f
Time: 12.57, Note: k
Time: 12.91, Note: d
Time: 13.36, Note: j
Time: 13.74, Note: f
Time: 14.26, Note: j
Time: 15.51, Note: j
Time: 15.80, Note: f
Time: 16.01, Note: j
Time: 16.40, Note: f
Time: 16.66, Note: j
Time: undefined, Note: k
Time: undefined, Note: f
Time: undefined, Note: d
Time: undefined, Note: k
Time: undefined, Note: f
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: d
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: j
Time: undefined, Note: d
Time: undefined, Note: k
Time: undefined, Note: f
Time: undefined, Note: j
Time: 22.71, Note: d
Time: undefined, Note: j
Time: 23.31, Note: f
Time: undefined, Note: d
Time: undefined, Note: k
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: d
Time: 26.00, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: d
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: d
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: d
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: j
Time: undefined, Note: d
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: undefined, Note: f
Time: undefined, Note: j
Time: undefined, Note: k
Time: undefined, Note: d
Time: undefined, Note: k
Time: 42.35, Note: d
Time: undefined, Note: j
Time: 42.95, Note: f
Time: 43.22, Note: k
Time: undefined, Note: d
Time: 43.62, Note: j
Time: 43.81, Note: f
Time: undefined, Note: k
Time: 44.27, Note: d
Time: 44.49, Note: j
Time: 44.67, Note: f
Time: 44.91, Note: k
Time: 45.09, Note: d
Time: 45.32, Note: j
Time: 45.50, Note: f
Time: 45.77, Note: k
Time: 45.94, Note: d
Time: 46.16, Note: j
Time: 46.37, Note: f
Time: 46.65, Note: k
Time: 46.80, Note: d
Time: 47.03, Note: j
Time: 47.21, Note: f
Time: 47.51, Note: k
Time: 47.68, Note: d
Time: 47.93, Note: j
Time: 48.09, Note: f
Time: undefined, Note: k
Time: 48.53, Note: d
Time: 49.40, Note: j
Time: 49.59, Note: f
Time: 49.88, Note: k
Time: 50.04, Note: d
Time: 50.27, Note: j
Time: 50.44, Note: f
Time: undefined, Note: k
Time: 50.87, Note: d
Time: undefined, Note: j
Time: 51.75, Note: j
Time: 51.93, Note: d
Time: 52.08, Note: k
Time: 52.42, Note: k
Time: 52.57, Note: f
Time: 52.79, Note: j
Time: 53.06, Note: d
Time: undefined, Note: k
Time: 53.46, Note: f
Time: 53.70, Note: j
Time: 53.87, Note: f
Time: undefined, Note: k
Time: 54.42, Note: d
Time: undefined, Note: j
Time: undefined, Note: f
Time: undefined, Note: k
Time: 56.31, Note: j
Time: 56.49, Note: d
Time: undefined, Note: k
Time: 56.92, Note: f
Time: 57.18, Note: j
Time: 57.40, Note: d
Time: undefined, Note: k
Time: 57.80, Note: f
Time: 58.06, Note: j
