Time: 1.44, Note: j
Time: 2.01, Note: d
Time: 2.09, Note: k
Time: 2.22, Note: f
Time: 2.48, Note: j
Time: 2.76, Note: j
Time: 2.94, Note: d
Time: 3.04, Note: k
Time: 3.16, Note: d
Time: 3.23, Note: k
Time: 3.38, Note: d
Time: 3.48, Note: k
Time: 3.59, Note: d
Time: 3.68, Note: k
Time: 3.78, Note: d
Time: 4.13, Note: j
Time: 4.14, Note: f
Time: 4.29, Note: j
Time: 4.34, Note: f
Time: 4.50, Note: k
Time: 4.51, Note: f
Time: 4.73, Note: f
Time: 5.12, Note: f
Time: 5.21, Note: k
Time: 5.33, Note: f
Time: 5.52, Note: k
Time: 5.57, Note: f
Time: 5.78, Note: d
Time: 5.94, Note: j
Time: 6.02, Note: d
Time: 6.09, Note: j
Time: 6.21, Note: d
Time: 6.27, Note: j
Time: 6.36, Note: d
Time: 6.43, Note: j
Time: 6.55, Note: d
Time: 6.59, Note: j
Time: 6.71, Note: d
Time: 6.74, Note: j
Time: 7.07, Note: k
Time: 7.08, Note: f
Time: 7.24, Note: f
Time: 7.43, Note: j
Time: 7.47, Note: d
Time: 7.71, Note: k
Time: 7.85, Note: f
Time: 8.02, Note: j
Time: 8.14, Note: f
Time: 8.24, Note: k
Time: 8.46, Note: d
Time: 8.53, Note: j
Time: 8.76, Note: f
Time: 8.84, Note: k
Time: 8.97, Note: k
Time: 9.03, Note: f
Time: 9.18, Note: k
Time: 9.22, Note: f
Time: 9.35, Note: k
Time: 9.39, Note: f
Time: 9.54, Note: j
Time: 9.56, Note: d
Time: 9.74, Note: d
Time: 9.75, Note: j
Time: 9.92, Note: d
Time: 9.94, Note: j
Time: 10.09, Note: f
Time: 10.12, Note: k
Time: 10.30, Note: f
Time: 10.46, Note: j
Time: 10.52, Note: d
Time: 10.88, Note: f
Time: 11.04, Note: k
Time: 11.13, Note: d
Time: 11.17, Note: k
Time: 11.46, Note: f
Time: 11.48, Note: j
Time: 11.72, Note: f
Time: 11.76, Note: k
Time: 11.93, Note: d
Time: 12.03, Note: j
Time: 12.16, Note: f
Time: 12.26, Note: j
Time: 12.41, Note: d
Time: 12.48, Note: k
Time: 12.65, Note: f
Time: 12.73, Note: j
Time: 12.90, Note: f
Time: 13.11, Note: k
Time: 13.27, Note: k
Time: 13.41, Note: d
Time: 13.47, Note: j
Time: 13.79, Note: f
Time: 13.84, Note: k
Time: 13.96, Note: k
Time: 14.02, Note: f
Time: 14.13, Note: j
Time: 14.21, Note: d
Time: 14.45, Note: k
Time: 14.67, Note: f
Time: 14.88, Note: j
Time: 15.01, Note: d
Time: 15.15, Note: j
Time: 15.32, Note: f
Time: 15.34, Note: k
Time: 15.56, Note: f
Time: 15.65, Note: k
Time: 15.79, Note: d
Time: 15.91, Note: j
Time: 16.05, Note: f
Time: 16.17, Note: k
Time: 16.31, Note: d
Time: 16.43, Note: j
Time: 16.56, Note: d
Time: 16.80, Note: k
Time: 17.08, Note: f
Time: 17.17, Note: j
Time: 17.27, Note: d
Time: 17.48, Note: k
Time: 17.58, Note: f
Time: 17.83, Note: j
Time: 17.94, Note: d
Time: 18.15, Note: k
Time: 18.27, Note: f
Time: 18.49, Note: j
Time: 18.60, Note: d
Time: 18.70, Note: k
Time: 18.86, Note: f
Time: 18.98, Note: j
Time: 19.12, Note: f
Time: 19.29, Note: k
Time: 19.40, Note: f
Time: 19.43, Note: k
Time: 19.75, Note: d
Time: 19.82, Note: j
Time: 20.07, Note: f
Time: 20.16, Note: k
Time: 20.28, Note: d
Time: 20.46, Note: j
Time: 20.60, Note: d
Time: 20.84, Note: j
Time: 20.97, Note: d
Time: 21.21, Note: k
Time: 21.31, Note: f
Time: 21.57, Note: j
Time: 21.65, Note: d
Time: 21.93, Note: k
Time: 22.00, Note: f
Time: 22.17, Note: j
Time: 22.29, Note: d
Time: 22.45, Note: k
Time: 22.73, Note: f
Time: 23.07, Note: j
Time: 23.14, Note: d
Time: 23.42, Note: k
Time: 23.59, Note: k
Time: 23.77, Note: d
Time: 23.90, Note: j
Time: 24.06, Note: f
Time: 24.16, Note: k
Time: 24.27, Note: d
Time: 24.36, Note: j
Time: 24.46, Note: f
Time: 24.55, Note: k
Time: 24.60, Note: d
Time: 24.67, Note: j
Time: 24.77, Note: f
Time: 24.80, Note: k
Time: 24.89, Note: d
Time: 25.04, Note: f
Time: 25.05, Note: j
Time: 25.23, Note: d
Time: 25.43, Note: k
Time: 25.98, Note: d
Time: 26.08, Note: j
Time: 26.23, Note: d
Time: 26.57, Note: k
Time: 26.58, Note: f
Time: 26.88, Note: d
Time: 26.94, Note: j
Time: 27.32, Note: f
