Time: 0.96, Note: j
Time: 1.44, Note: d
Time: 1.59, Note: k
Time: 1.74, Note: f
Time: 2.17, Note: j
Time: 2.34, Note: j
Time: 2.52, Note: d
Time: 2.69, Note: k
Time: 3.45, Note: j
Time: 3.51, Note: d
Time: 4.15, Note: f
Time: 4.18, Note: k
Time: 4.85, Note: d
Time: 4.88, Note: j
Time: 5.58, Note: k
Time: 7.08, Note: f
Time: 7.40, Note: j
Time: 7.57, Note: k
Time: 7.70, Note: d
Time: 8.01, Note: j
Time: 8.22, Note: f
Time: 8.58, Note: k
Time: 8.58, Note: d
Time: 9.18, Note: f
Time: 9.20, Note: j
Time: 9.89, Note: k
Time: 10.67, Note: d
Time: 11.40, Note: f
Time: 11.42, Note: j
Time: 11.92, Note: k
Time: 12.48, Note: f
Time: 12.87, Note: f
Time: 13.35, Note: j
Time: 13.78, Note: d
Time: 13.94, Note: k
Time: 14.32, Note: d
Time: 15.00, Note: j
Time: 15.68, Note: d
Time: 16.40, Note: j
Time: 17.12, Note: f
Time: 17.72, Note: k
Time: 18.56, Note: d
Time: 18.73, Note: j
Time: 18.93, Note: j
Time: 19.08, Note: d
Time: 19.55, Note: k
Time: 19.71, Note: f
Time: 19.88, Note: j
Time: 20.08, Note: d
Time: 20.71, Note: k
Time: 20.72, Note: f
Time: 21.39, Note: d
Time: 21.41, Note: j
Time: 22.16, Note: f
Time: 22.17, Note: k
Time: 22.96, Note: d
Time: 22.97, Note: j
Time: 23.35, Note: f
Time: 23.52, Note: k
Time: 23.71, Note: d
Time: 23.88, Note: j
Time: 24.08, Note: f
Time: 24.24, Note: k
Time: 24.47, Note: f
Time: 24.64, Note: j
Time: 24.86, Note: f
Time: 25.00, Note: k
Time: 25.21, Note: f
Time: 25.37, Note: j
Time: 25.55, Note: f
Time: 25.71, Note: k
Time: 25.89, Note: f
Time: 26.07, Note: j
Time: 26.28, Note: f
Time: 26.45, Note: k
Time: 26.63, Note: f
Time: 26.81, Note: j
Time: 27.01, Note: f
Time: 27.15, Note: k
Time: 27.37, Note: d
Time: 27.53, Note: k
Time: 27.69, Note: d
Time: 27.87, Note: k
Time: 28.09, Note: d
Time: 28.25, Note: j
Time: 28.42, Note: d
Time: 28.63, Note: j
Time: 28.79, Note: d
Time: 28.97, Note: j
Time: 29.15, Note: d
Time: 29.32, Note: k
Time: 29.51, Note: d
Time: 29.68, Note: j
Time: 29.89, Note: d
Time: 30.06, Note: k
Time: 30.25, Note: d
Time: 30.42, Note: j
Time: 30.61, Note: d
Time: 30.79, Note: k
Time: 30.97, Note: d
Time: 31.13, Note: j
Time: 31.33, Note: d
Time: 31.49, Note: k
Time: 31.66, Note: d
Time: 31.83, Note: j
Time: 32.02, Note: d
Time: 32.20, Note: k
Time: 32.39, Note: f
Time: 32.56, Note: k
Time: 32.77, Note: f
Time: 33.11, Note: d
Time: 33.12, Note: j
Time: 33.68, Note: f
Time: 33.72, Note: k
Time: 34.02, Note: d
Time: 34.17, Note: j
Time: 34.54, Note: f
Time: 34.55, Note: k
Time: 34.86, Note: f
Time: 35.00, Note: j
Time: 35.16, Note: f
Time: 35.34, Note: k
Time: 35.54, Note: f
Time: 35.69, Note: j
Time: 35.88, Note: f
Time: 36.05, Note: k
Time: 36.24, Note: f
Time: 36.39, Note: j
Time: 36.59, Note: f
Time: 36.74, Note: k
Time: 36.92, Note: f
Time: 37.08, Note: j
Time: 37.34, Note: f
Time: 37.49, Note: j
Time: 37.62, Note: d
Time: 37.81, Note: j
Time: 38.02, Note: d
Time: 38.19, Note: j
Time: 38.39, Note: d
Time: 38.55, Note: j
Time: 38.74, Note: f
Time: 38.91, Note: k
Time: 39.11, Note: f
Time: 39.29, Note: k
Time: 39.45, Note: f
Time: 39.65, Note: k
Time: 39.83, Note: f
Time: 40.00, Note: k
Time: 40.22, Note: d
Time: 40.34, Note: j
Time: 40.49, Note: d
Time: 40.69, Note: j
Time: 40.89, Note: d
Time: 41.05, Note: j
Time: 41.24, Note: d
Time: 41.40, Note: j
Time: 41.60, Note: d
Time: 41.78, Note: j
Time: 41.96, Note: d
Time: 42.14, Note: j
Time: 42.33, Note: d
Time: 42.48, Note: j
Time: 42.66, Note: d
Time: 42.83, Note: j
Time: 43.03, Note: f
Time: 43.20, Note: k
Time: 43.39, Note: f
Time: 43.58, Note: k
Time: 43.76, Note: f
Time: 43.94, Note: k
Time: 44.15, Note: f
Time: 44.30, Note: k
Time: 44.49, Note: d
Time: 44.66, Note: j
Time: 44.84, Note: d
Time: 45.03, Note: j
Time: 45.20, Note: d
Time: 45.36, Note: j
Time: 45.57, Note: f
Time: 45.80, Note: k
Time: 46.10, Note: k
Time: 46.11, Note: d
Time: 46.73, Note: j
Time: 47.09, Note: j
Time: 47.55, Note: d
Time: 47.77, Note: k
Time: 47.94, Note: f
Time: 48.10, Note: j
Time: 48.46, Note: k
Time: 48.67, Note: d
Time: 48.85, Note: j
Time: 49.00, Note: f
Time: 49.03, Note: j
Time: 49.68, Note: k
